Road Name,Number of Contracts,Total Length of Works (Km),Condition Category
Z3607,2,2.28,B
Z1402,1,0.109,B
Z1009,0,0.0,A
Z4016,0,0.0,A
Z4021,0,0.0,A
Z5040,0,0.0,A
Z4602,2,1.23,B
R585,8,36.65,D
Z2823,1,6.02,C
Z1216,0,0.0,A
Z5015,0,0.0,A
Z5022,2,7.87,C
Z1221,0,0.0,A
R171,0,0.0,A
Z7607,0,0.0,A
R146,0,0.0,A
Z5858,0,0.0,A
Z6010,0,0.0,A
Z6027,0,0.0,A
Z3038,0,0.0,A
Z1811,0,0.0,A
R113,0,0.0,A
R765,1,15.02,C
Z7024,0,0.0,A
Z8611,0,0.0,A
Z5410,0,0.0,A
Z8067,0,0.0,A
R180,0,0.0,A
Z1052,0,0.0,A
Z8705,1,1.0,B
N205,0,0.0,A
Z1065,0,0.0,A
Z5504,0,0.0,A
Z6853,0,0.0,A
Z1124,0,0.0,A
Z5472,0,0.0,A
Z1030,0,0.0,A
Z5551,0,0.0,A
Z8005,0,0.0,A
Z6806,2,25.5,D
Z8032,0,0.0,A
N505,0,0.0,A
Z1007,0,0.0,A
Z4018,0,0.0,A
Z8750,0,0.0,A
Z2121,0,0.0,A
Z3615,2,5.09,C
R360,3,45.8,D
Z2035,0,0.0,A
Z5803,0,0.0,A
Z2002,0,0.0,A
Z7502,0,0.0,A
Z3701,1,19.4,C
R460,2,2.0,B
Z8909,0,0.0,A
Z7609,0,0.0,A
R302,0,0.0,A
R543,0,0.0,A
Z6029,3,1.4,B
Z3036,0,0.0,A
N802,1,3.0,B
R221,0,0.0,A
Z5856,3,1.75,B
N706,0,0.0,A
Z2831,0,0.0,A
Z5007,0,0.0,A
Z2806,0,0.0,A
Z8206,0,0.0,A
Z4610,0,0.0,A
Z1472,0,0.0,A
Z1445,3,3.4,B
N519,0,0.0,A
Z1504,0,0.0,A
Z5707,3,6.02,C
Z5613,1,2.02,B
N112,0,0.0,A
N125,0,0.0,A
Z8412,0,0.0,A
Z5624,0,0.0,A
Z7001,0,0.0,A
Z3609,0,0.0,A
R890,0,0.0,A
Z7701,2,1.8,B
Z6035,0,0.0,A
Z7054,0,0.0,A
Z7615,1,0.5,B
R163,0,0.0,A
Z8915,0,0.0,A
R601,10,55.38,D
Z7468,0,0.0,A
Z1086,0,0.0,A
R145,0,0.0,A
Z7604,0,0.0,A
R172,0,0.0,A
Z6024,1,1.8,B
Z1812,0,0.0,A
Z7045,1,5.89,C
Z7710,0,0.0,A
Z8810,0,0.0,A
R110,1,1.0,B
R881,0,0.0,A
Z2038,0,0.0,A
Z1129,0,0.0,A
Z1436,1,8.0,C
Z1401,0,0.0,A
Z4101,0,0.0,A
N103,0,0.0,A
Z4022,0,0.0,A
Z5043,0,0.0,A
Z5074,0,0.0,A
N508,0,0.0,A
Z4015,0,0.0,A
Z5209,2,3.45,B
Z1629,0,0.0,A
R586,1,0.08,B
N603,0,0.0,A
Z5021,0,0.0,A
Z8708,0,0.0,A
N208,0,0.0,A
Z5509,0,0.0,A
Z3010,0,0.0,A
Z7059,0,0.0,A
Z7618,0,0.0,A
Z7465,0,0.0,A
R313,7,14.86,D
Z7452,0,0.0,A
Z3710,0,0.0,A
Z2013,0,0.0,A
Z7407,0,0.0,A
R371,1,34.52,D
Z3604,2,0.62,B
N514,0,0.0,A
Z8023,0,0.0,A
Z4009,0,0.0,A
Z1016,0,0.0,A
Z1021,0,0.0,A
Z6817,1,16.16,C
Z1102,0,0.0,A
Z5301,0,0.0,A
Z5463,0,0.0,A
N128,0,0.0,A
Z1135,0,0.0,A
N6,0,0.0,A
Z1043,0,0.0,A
Z5401,0,0.0,A
Z1602,0,0.0,A
Z1448,0,0.0,A
Z1510,2,4.18,B
Z1038,0,0.0,A
Z5046,0,0.0,A
Z5559,0,0.0,A
Z4104,0,0.0,A
N106,0,0.0,A
Z1433,6,5.38,D
R283,0,0.0,A
N712,0,0.0,A
Z8058,0,0.0,A
Z1210,0,0.0,A
Z5024,1,4.53,B
Z2812,0,0.0,A
Z4604,0,0.0,A
Z1466,0,0.0,A
Z8815,0,0.0,A
Z3009,0,0.0,A
Z7715,0,0.0,A
Z6021,8,4.72,D
Z7040,0,0.0,A
R140,17,47.65,D
Z3709,4,19.52,C
Z1130,0,0.0,A
N405,0,0.0,A
Z8011,3,30.69,D
Z6812,0,0.0,A
R850,0,0.0,A
N511,0,0.0,A
Z1013,0,0.0,A
Z5210,0,0.0,A
Z8605,0,0.0,A
Z5404,0,0.0,A
N3,3,2.33,B
Z1046,0,0.0,A
N211,0,0.0,A
Z1071,0,0.0,A
Z8044,0,0.0,A
Z5510,0,0.0,A
Z7457,0,0.0,A
Z7460,0,0.0,A
R316,0,0.0,A
R557,0,0.0,A
R202,0,0.0,A
Z7709,0,0.0,A
R560,1,38.86,D
Z5903,0,0.0,A
Z3601,0,0.0,A
R748,1,0.43,B
Z3040,1,15.96,C
Z2016,0,0.0,A
