road,LRPName,length,condition,roadName
N1,LRP119a,2.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP120b,6.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP122a,6.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP123a,6.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP127a,9.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP131b,6.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP134a,6.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP136a,3.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP137a,3.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP142a,10.8,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP143a,1.6,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP145a,3.4,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP148a,1.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP149a,23.4,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP149b,22.15,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP149c,1.9,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP159a,1.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP166a,222.43,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP166c,6.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP167a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP169a,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP171a,4.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP171b,2.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP171c,1.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP172a,4.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP172b,2.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP173a,1.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP173b,1.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP174a,8.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP174b,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
