LRPName,avg_earthquake_score
LRP130c,0.6666666666666667
LRP130d,0.0
LRP131a,0.625
LRP131b,0.625
LRP131c,1.0
LRP132a,0.7
LRP132b,0.0
LRP132c,0.0
LRP133a,0.5
LRP133c,0.75
LRP133e,0.5
LRP134a,0.6428571428571428
LRP134b,0.0
LRP134c,0.0
LRP135a,0.6428571428571428
LRP135b,0.5
LRP135c,0.5
LRP135d,0.5
LRP136a,0.8
LRP136c,0.5
LRP136d,0.5
LRP137a,0.7
LRP137b,0.75
LRP138a,0.5714285714285714
LRP138b,0.0
LRP138c,0.5
LRP139a,0.375
LRP139b,0.5
LRP140a,0.41666666666666663
LRP140c,0.16666666666666663
LRP141a,0.4285714285714286
LRP141b,0.6666666666666667
LRP141c,1.0
LRP142a,0.4
LRP142b,0.0
LRP142c,0.0
LRP143a,0.7
LRP143c,0.0
LRP144a,0.375
LRP144b,1.0
LRP145a,0.375
LRP145c,0.0
LRP146a,0.6000000000000001
LRP146b,0.5
LRP147a,0.125
LRP147b,0.0
LRP147c,0.5
LRP147d,0.0
LRP148a,0.7
LRP148b,0.5
LRP149a,0.33333333333333337
LRP149b,0.25
LRP149c,0.5
LRP149d,0.5
LRP149f,0.5
LRP149g,0.5
LRP150a,0.09999999999999998
LRP150b,0.5
LRP150c,0.0
LRP151a,0.5
LRP151b,0.33333333333333337
LRP151c,0.5
LRP152a,0.33333333333333337
LRP152b,0.0
LRP152c,0.625
LRP152d,0.0
LRP153a,0.625
LRP153b,0.6666666666666667
LRP153c,1.0
LRP154a,0.33333333333333337
LRP154c,0.0
LRP155a,0.6000000000000001
LRP155b,0.0
LRP156a,0.625
LRP157a,0.5
LRP157b,0.0
LRP157c,1.0
LRP158a,0.5
LRP159a,0.6000000000000001
LRP159b,0.0
LRP159c,0.25
LRP159d,0.0
LRP160a,0.625
LRP160b,0.0
LRP160c,0.5
LRP160d,0.0
LRP160e,0.5
LRP160g,0.5
LRP161a,0.5833333333333333
LRP161b,0.5
LRP161c,0.5
LRP162a,0.5
LRP162c,0.5
LRP162d,0.0
LRP162e,0.0
LRP162f,0.0
LRP163a,0.625
LRP163b,0.0
LRP163c,0.25
LRP163d,0.0
LRP164a,0.5
LRP164b,0.5
LRP164d,0.0
LRP165a,0.5
LRP165c,0.25
LRP165d,0.0
LRP165e,0.0
LRP166a,0.6428571428571428
LRP166b,0.5
LRP166c,0.25
LRP166d,0.0
LRP166e,0.0
LRP167a,0.25
LRP167b,0.0
LRP167c,0.0
LRP168a,0.3571428571428571
LRP168c,0.0
LRP169a,0.33333333333333337
LRP169b,0.0
LRP169c,0.0
LRP169d,0.0
LRP169e,0.0
LRP169f,0.0
LRP170a,0.30000000000000004
LRP170b,0.0
LRP170c,0.0
LRP170e,0.0
LRP170f,0.0
LRP170g,0.0
LRP170h,0.0
LRP170i,0.0
LRP170j,0.0
LRP171a,0.25
LRP171b,0.25
LRP171c,0.25
LRP171d,0.0
LRP171e,0.0
LRP171f,0.0
LRP172a,0.5
LRP172b,0.25
LRP172c,0.25
LRP172d,0.0
LRP172e,0.0
LRP173a,0.6000000000000001
LRP173b,0.5
LRP173c,0.0
LRP174a,0.5
LRP174b,0.33333333333333337
LRP174c,0.25
LRP175a,0.6000000000000001
LRP175b,0.25
LRP175c,0.0
LRP175d,0.0
LRP175e,0.0
LRP175f,0.0
LRP176a,0.5
LRP176b,0.5
LRP176c,0.25
LRP176d,0.25
LRP176e,0.0
LRP177a,0.5
LRP177b,0.375
LRP177d,0.16666666666666663
LRP178a,0.625
LRP178b,0.0
LRP179a,0.5
LRP179b,0.16666666666666663
LRP180a,0.375
LRP180b,0.5
LRP180c,0.0
LRP181a,0.41666666666666663
LRP181b,0.5
LRP181c,0.33333333333333337
LRP181d,0.0
LRP182a,0.6000000000000001
LRP182b,0.0
LRP182c,0.75
LRP182d,0.0
LRP183a,0.5
LRP183b,0.5
LRP183c,0.0
LRP183d,0.0
LRP184a,0.5
LRP184b,0.5
LRP184c,0.0
LRP185a,0.6000000000000001
LRP185b,0.25
LRP186a,0.6000000000000001
LRP186b,0.5
LRP186c,0.25
LRP186d,0.0
LRP187a,0.5
LRP187b,0.375
LRP187c,1.0
LRP187d,1.0
LRP188a,0.6000000000000001
LRP189a,0.5
LRP189d,1.0
LRP190a,0.375
LRP191a,0.5
LRP191b,0.25
LRP191c,0.5
LRP192a,0.0
LRP193a,0.5833333333333333
LRP193b,1.0
LRP194a,0.6666666666666667
LRP194b,0.0
LRP195a,0.75
LRP195b,1.0
LRP196a,0.625
LRP196c,1.0
LRP197a,0.5
LRP197b,0.5
LRP198a,0.5
LRP198b,1.0
LRP198c,1.0
LRP199a,0.625
LRP199b,0.375
LRP199c,0.5
LRP199d,0.0
LRP200a,0.5
LRP200c,0.6666666666666667
LRP201a,0.33333333333333337
LRP201b,0.25
LRP202a,0.25
LRP202b,0.5
LRP202c,1.0
LRP203a,0.5
LRP203b,0.75
LRP204a,0.5
LRP205a,0.25
LRP206a,0.5
LRP206b,0.25
LRP206c,0.5
LRP207a,0.5
LRP207b,0.5
LRP208a,0.75
LRP208b,1.0
LRP208d,0.5
LRP209a,0.5
LRP210a,0.33333333333333337
LRP210b,0.5
LRP210d,0.5
LRP211a,0.33333333333333337
LRP211b,0.0
LRP211c,0.0
LRP212a,0.5
LRP213a,0.5
LRP213b,0.25
LRP214a,0.5
LRP214b,0.0
LRP215a,0.33333333333333337
LRP215b,0.5
LRP216a,0.0
LRP216b,0.0
LRP217a,0.5
LRP217c,0.5
LRP218a,0.75
LRP218b,0.5
LRP219a,0.5
LRP219b,1.0
LRP219c,0.75
LRP220a,0.75
LRP220b,0.4
LRP221a,0.5
LRP221b,0.0
LRP221c,1.0
LRP221d,1.0
LRP222a,0.0
LRP222b,0.5
LRP223a,0.5
LRP224a,0.25
LRP224b,0.25
LRP225a,0.6000000000000001
LRP225c,0.0
LRP226a,0.75
LRP226b,0.75
LRP226c,0.0
LRP226d,0.0
LRP227a,0.5
LRP227c,0.5
LRP227d,0.0
LRP228a,0.75
LRP228b,0.0
LRP229a,0.5
LRP229c,0.0
LRP230a,0.5
LRP230c,0.0
LRP230e,0.0
LRP231a,0.5
LRP231b,0.25
LRP231c,0.0
LRP231d,0.0
LRP232a,0.75
LRP232b,1.0
LRP233a,0.5
LRP233b,0.0
LRP234a,0.5
LRP234b,1.0
LRP235a,0.5
LRP235b,1.0
LRP236a,0.4
LRP236b,1.0
LRP236c,0.0
LRP237a,0.375
LRP237b,0.75
LRP237c,0.75
LRP237d,1.0
LRP238a,0.5
LRP238c,0.0
LRP239a,0.5
LRP239b,0.75
LRP240a,0.375
LRP240b,0.6666666666666667
LRP240c,0.33333333333333337
LRP241a,0.5
LRP241b,1.0
LRP241c,0.5
LRP242a,0.5
LRP242b,0.5
LRP243a,0.6666666666666667
LRP243b,0.25
LRP244a,0.75
LRP244b,0.5
LRP244c,0.75
LRP244d,1.0
LRP245a,0.5
LRP245b,0.5
LRP246a,0.625
LRP246b,0.5
LRP246c,0.0
LRP247a,0.5
LRP247b,1.0
LRP248a,0.5
LRP248b,1.0
LRP248c,1.0
LRP249a,0.33333333333333337
LRP250a,0.33333333333333337
LRP251a,0.375
LRP252a,0.25
LRP252c,0.5
LRP253a,0.16666666666666663
LRP254a,0.5
LRP255a,0.16666666666666663
LRP257a,0.25
LRP258a,0.0
LRP258b,0.5
LRP258c,0.5
LRP259a,0.5
LRP259b,0.5
LRP260a,0.33333333333333337
LRP260b,0.5
LRP261a,0.375
LRP261b,0.0
LRP262a,0.375
LRP262c,0.5
LRP262d,0.5
LRP263a,0.5
LRP263b,0.16666666666666663
LRP264a,0.375
LRP264c,0.5
LRP265a,0.30000000000000004
LRP265b,0.5
LRP265c,0.5
LRP266a,0.16666666666666663
LRP266b,0.5
LRP267a,0.25
LRP268a,0.25
LRP268b,0.5
LRP269a,0.30000000000000004
LRP269b,0.5
LRP269c,0.5
LRP270a,0.25
LRP270c,0.0
LRP271a,0.25
LRP272a,0.30000000000000004
LRP272c,0.5
LRP273a,0.0
LRP274a,0.0
LRP274c,0.0
LRP274e,0.0
LRP275a,0.125
LRP276a,0.16666666666666663
LRP277a,0.5
LRP277b,0.5
LRP278a,0.5
LRP279a,0.5
LRP279c,0.5
LRP280a,0.25
LRP280b,0.5
LRP281a,0.16666666666666663
LRP282a,0.33333333333333337
LRP282c,0.5
LRP282e,0.5
LRP283a,0.5
LRP283b,0.0
LRP283c,0.25
LRP283d,0.5
LRP284a,0.25
LRP284b,0.0
LRP284c,0.0
LRP285a,0.0
LRP285b,0.0
LRP285c,0.0
LRP286a,0.5
LRP286b,0.5
LRP287a,0.5
LRP288a,0.5
LRP288b,0.5
LRP289a,0.5
LRP291a,0.5
LRP291b,0.5
LRP291c,0.5
LRP291d,0.5
LRP292a,0.5
LRP292b,0.5
LRP293a,0.5
