LRPName,avg_flood_score
LRP021d,0.19607843137254902
LRP021e,0.041666666666666664
LRP021f,0.0
LRP022a,0.28763440860215056
LRP022b,0.1851851851851852
LRP022c,0.21794871794871795
LRP022d,0.2222222222222222
LRP023a,0.30423280423280424
LRP023b,0.23129251700680273
LRP023c,0.3066666666666667
LRP023d,0.2857142857142857
LRP023e,0.16666666666666666
LRP024a,0.28774928774928776
LRP024b,0.2522522522522523
LRP024c,0.24242424242424243
LRP024d,0.4761904761904762
LRP024e,0.2222222222222222
LRP024f,0.0
LRP025a,0.3115264797507788
LRP025b,0.20833333333333334
LRP025c,0.31666666666666665
LRP025d,0.2222222222222222
LRP025e,0.3333333333333333
LRP025f,0.3333333333333333
LRP025h,0.0
LRP026a,0.28746177370030584
LRP026b,0.22549019607843138
LRP026c,0.21052631578947367
LRP026d,0.1111111111111111
LRP026e,0.1111111111111111
LRP027a,0.2833333333333333
LRP027b,0.29914529914529914
LRP027c,0.35000000000000003
LRP027d,0.3333333333333333
LRP027e,0.3333333333333333
LRP027f,0.0
LRP028a,0.28086419753086417
LRP028b,0.2380952380952381
LRP028c,0.35000000000000003
LRP028d,0.2916666666666667
LRP028e,0.3333333333333333
LRP028f,0.3333333333333333
LRP028g,0.3333333333333333
LRP028h,0.0
LRP029a,0.3186813186813187
LRP029b,0.3142857142857143
LRP029c,0.2745098039215686
LRP029d,0.39999999999999997
LRP029e,0.3333333333333333
LRP029f,0.5
LRP030a,0.32098765432098764
LRP030b,0.35353535353535354
LRP030c,0.30952380952380953
LRP030d,0.4166666666666667
LRP030e,0.3333333333333333
LRP030g,0.3333333333333333
LRP030h,0.3333333333333333
LRP031a,0.30196078431372547
LRP031b,0.26436781609195403
LRP031c,0.2833333333333333
LRP031d,0.20833333333333334
LRP031e,0.2222222222222222
LRP031f,0.3333333333333333
LRP032a,0.3378378378378379
LRP032b,0.2916666666666667
LRP032c,0.2631578947368421
LRP032d,0.25925925925925924
LRP032e,0.6666666666666666
LRP033a,0.37719298245614036
LRP033b,0.30630630630630634
LRP033c,0.393939393939394
LRP033d,0.08333333333333333
LRP033e,0.3333333333333333
LRP034a,0.3288888888888889
LRP034b,0.25641025641025644
LRP034c,0.4222222222222222
LRP034d,0.39999999999999997
LRP034e,0.2222222222222222
LRP035a,0.3089430894308943
LRP035b,0.2631578947368421
LRP035c,0.1794871794871795
LRP035d,0.16666666666666666
LRP035e,0.6666666666666666
LRP036a,0.338235294117647
LRP036b,0.3103448275862069
LRP036c,0.39215686274509803
LRP036d,0.09523809523809523
LRP036e,0.0
LRP036f,0.0
LRP037a,0.2629107981220657
LRP037b,0.2753623188405797
LRP037c,0.14285714285714285
LRP037d,0.25
LRP038a,0.25641025641025644
LRP038b,0.23529411764705885
LRP038c,0.25
LRP038d,0.5
LRP038e,0.1111111111111111
LRP039a,0.2626262626262626
LRP039b,0.2777777777777778
LRP039c,0.3333333333333333
LRP039d,0.2222222222222222
LRP040a,0.25308641975308643
LRP040b,0.3888888888888889
LRP040c,0.3333333333333333
LRP040d,0.1111111111111111
LRP040e,0.3333333333333333
LRP041a,0.3111111111111111
LRP041b,0.2380952380952381
LRP041c,0.24242424242424243
LRP041e,0.0
LRP041f,0.0
LRP042a,0.24
LRP042b,0.2380952380952381
LRP042c,0.358974358974359
LRP042d,0.16666666666666666
LRP042e,0.6666666666666666
LRP042g,0.0
LRP043a,0.3666666666666667
LRP043b,0.2333333333333333
LRP043c,0.2916666666666667
LRP043d,0.2222222222222222
LRP043e,0.0
LRP043f,0.0
LRP044a,0.31884057971014496
LRP044b,0.3333333333333333
LRP044c,0.5151515151515151
LRP044d,0.08333333333333333
LRP044e,0.6666666666666666
LRP044f,0.3333333333333333
LRP044g,0.3333333333333333
LRP045a,0.31972789115646255
LRP045b,0.2380952380952381
LRP045c,0.1111111111111111
LRP045d,0.08333333333333333
LRP045e,0.1111111111111111
LRP045f,0.3333333333333333
LRP045g,0.3333333333333333
LRP046a,0.2857142857142857
LRP046b,0.25641025641025644
LRP046c,0.20833333333333334
LRP046d,0.19999999999999998
LRP046e,0.3333333333333333
LRP046f,0.3333333333333333
LRP046g,0.3333333333333333
LRP046h,0.3333333333333333
LRP047a,0.3650793650793651
LRP047b,0.25641025641025644
LRP047c,0.4444444444444444
LRP047d,0.0
LRP047e,0.0
LRP048a,0.35000000000000003
LRP048b,0.1568627450980392
LRP048c,0.08333333333333333
LRP048d,0.6666666666666666
LRP049a,0.31884057971014496
LRP049b,0.3333333333333333
LRP049c,0.4444444444444444
LRP049d,0.20833333333333334
LRP049e,0.16666666666666666
LRP050a,0.37209302325581395
LRP050b,0.3636363636363636
LRP050c,0.4666666666666666
LRP050d,0.0
LRP051a,0.3947368421052631
LRP051b,0.38095238095238093
LRP051c,0.4583333333333333
LRP051d,0.5
LRP051e,0.0
LRP052a,0.30701754385964913
LRP052b,0.3333333333333333
LRP052c,0.05555555555555555
LRP052d,0.0
LRP052e,0.0
LRP053a,0.3255813953488372
LRP053b,0.411764705882353
LRP053c,0.5555555555555556
LRP053d,0.6666666666666666
LRP053e,0.0
LRP053f,0.0
LRP053g,0.0
LRP054a,0.3238095238095238
LRP054b,0.3333333333333333
LRP054c,0.16666666666666666
LRP054d,0.6666666666666666
LRP054e,0.0
LRP055a,0.3333333333333333
LRP055b,0.05555555555555555
LRP055c,0.2857142857142857
LRP055d,0.0
LRP055e,0.0
LRP056a,0.3333333333333333
LRP056b,0.1794871794871795
LRP056c,0.16666666666666666
LRP056d,0.4444444444444444
LRP057a,0.3580246913580247
LRP057b,0.3
LRP057c,0.25
LRP057d,0.0
LRP058a,0.2192982456140351
LRP058b,0.4358974358974359
LRP058c,0.2916666666666667
LRP058d,0.0
LRP058e,0.0
LRP058f,0.3333333333333333
LRP059a,0.3580246913580247
LRP059b,0.3333333333333333
LRP059c,0.25925925925925924
LRP059e,0.3333333333333333
LRP060a,0.24358974358974358
LRP060b,0.09999999999999999
LRP060c,0.19999999999999998
LRP061a,0.31746031746031744
LRP061b,0.16666666666666666
LRP061c,0.4583333333333333
LRP061d,0.3333333333333333
LRP061e,0.0
LRP061f,0.0
LRP062a,0.24
LRP062b,0.2333333333333333
LRP062c,0.13333333333333333
LRP063a,0.25
LRP063b,0.1111111111111111
LRP063c,0.38095238095238093
LRP064a,0.2878787878787879
LRP064b,0.3703703703703704
LRP064c,0.25
LRP065a,0.24561403508771928
LRP065b,0.16666666666666666
LRP065c,0.2222222222222222
LRP065d,0.16666666666666666
LRP066a,0.21666666666666667
LRP066b,0.3055555555555555
LRP066c,0.08333333333333333
LRP066d,0.2222222222222222
LRP066e,0.16666666666666666
LRP067a,0.2745098039215686
LRP067b,0.19999999999999998
LRP067c,0.1111111111111111
LRP067d,0.0
LRP067e,0.16666666666666666
LRP068a,0.35185185185185186
LRP068b,0.16666666666666666
LRP068c,0.3333333333333333
LRP068d,0.16666666666666666
LRP068e,0.16666666666666666
LRP068f,0.0
LRP069a,0.35555555555555557
LRP069b,0.25
LRP069c,0.2222222222222222
LRP069d,0.0
LRP069e,0.0
LRP070a,0.1568627450980392
LRP070b,0.08333333333333333
LRP070c,0.2222222222222222
LRP070d,0.3333333333333333
LRP071a,0.358974358974359
LRP071b,0.25
LRP071c,0.0
LRP071e,0.0
LRP072a,0.34782608695652173
LRP072b,0.3333333333333333
LRP072c,0.2222222222222222
LRP072d,0.0
LRP072e,0.6666666666666666
LRP073a,0.2777777777777778
LRP073b,0.38095238095238093
LRP073c,0.0
LRP073e,0.0
LRP073f,0.0
LRP073g,0.0
LRP074a,0.3333333333333333
LRP074b,0.08333333333333333
LRP074c,0.5
LRP075a,0.3333333333333333
LRP075b,0.25
LRP075c,0.2222222222222222
LRP076a,0.2549019607843137
LRP076b,0.14285714285714285
LRP076c,0.5
LRP076d,0.16666666666666666
LRP076e,0.0
LRP077a,0.24242424242424243
LRP077b,0.16666666666666666
LRP077c,0.26666666666666666
LRP078a,0.2619047619047619
LRP078b,0.08333333333333333
LRP078c,0.0
LRP079a,0.2777777777777778
LRP079b,0.38095238095238093
LRP080a,0.21212121212121213
LRP080b,0.2857142857142857
LRP080c,0.5
LRP081a,0.24242424242424243
LRP081b,0.3888888888888889
LRP082a,0.2962962962962963
LRP082b,0.3333333333333333
LRP082c,0.0
LRP083a,0.3333333333333333
LRP083b,0.3333333333333333
LRP083c,0.5
LRP084a,0.3333333333333333
LRP084b,0.25
LRP084c,0.6666666666666666
LRP085a,0.26666666666666666
LRP085b,0.0
LRP085d,0.3333333333333333
LRP086a,0.3055555555555555
LRP086b,0.3333333333333333
LRP087a,0.3333333333333333
LRP087b,0.0
LRP087c,0.6666666666666666
LRP088a,0.3703703703703704
LRP088b,0.4444444444444444
LRP088c,0.0
LRP088d,0.0
LRP088e,0.0
LRP089a,0.375
LRP089b,0.3333333333333333
LRP089c,0.0
LRP089d,0.0
LRP090a,0.3055555555555555
LRP090b,0.0
LRP091a,0.2777777777777778
LRP091b,0.1111111111111111
LRP091d,0.0
LRP091e,0.0
LRP092a,0.2857142857142857
LRP092b,0.3333333333333333
LRP092c,0.0
LRP093a,0.3333333333333333
LRP093b,0.3333333333333333
LRP093e,0.6666666666666666
