Road Name,Number of Contracts,Total Length of Works (Km)
Z5616,0,0.0
N408,0,0.0
Z8420,0,0.0
Z1029,0,0.0
Z5060,0,0.0
Z8204,0,0.0
Z2804,0,0.0
Z5032,0,0.0
Z1206,0,0.0
Z5005,0,0.0
N704,0,0.0
Z1447,0,0.0
Z6818,3,1.2
Z8504,0,0.0
Z5050,0,0.0
Z1019,0,0.0
Z1425,0,0.0
N127,0,0.0
N110,0,0.0
Z1412,1,2.0
Z5611,0,0.0
Z7408,0,0.0
Z2049,0,0.0
R720,0,0.0
Z7703,0,0.0
Z8803,0,0.0
Z1084,0,0.0
R603,0,0.0
Z7617,0,0.0
R161,0,0.0
Z1611,0,0.0
Z5019,0,0.0
Z8052,0,0.0
Z6851,0,0.0
N207,2,21.23
Z1050,0,0.0
Z7489,0,0.0
Z8065,0,0.0
R813,0,0.0
Z1439,0,0.0
Z1126,0,0.0
Z1005,0,0.0
N507,0,0.0
Z5553,0,0.0
Z1032,0,0.0
R682,0,0.0
Z3617,0,0.0
Z2123,0,0.0
Z3703,0,0.0
Z5801,0,0.0
R241,0,0.0
Z2037,0,0.0
Z1098,0,0.0
Z3003,1,0.5
Z5854,1,11.25
Z2055,0,0.0
Z3034,2,4.8
Z2044,0,0.0
Z1482,3,1.44
R550,0,0.0
Z3025,3,7.477
Z3012,0,0.0
Z1089,0,0.0
Z7467,0,0.0
R311,0,0.0
R250,0,0.0
Z2011,0,0.0
Z3712,0,0.0
Z5904,1,1.21
Z7405,0,0.0
R860,3,7.09
N516,0,0.0
Z8021,0,0.0
Z5456,0,0.0
N402,0,0.0
Z8209,0,0.0
Z1041,0,0.0
Z8716,1,6.98
Z2809,0,0.0
R802,0,0.0
N4,2,13.21
Z8043,0,0.0
Z5008,0,0.0
N709,0,0.0
Z1076,0,0.0
Z1637,0,0.0
Z8602,0,0.0
N302,2,9.0
Z5403,0,0.0
Z7606,0,0.0
R170,0,0.0
R147,3,5.0
Z1095,0,0.0
Z6011,0,0.0
Z7047,0,0.0
Z3039,0,0.0
Z6026,2,2.0
R112,0,0.0
Z7106,0,0.0
Z7012,0,0.0
N101,0,0.0
Z1403,0,0.0
Z1434,0,0.0
Z8401,2,1.69
Z4017,0,0.0
Z1008,0,0.0
Z5041,0,0.0
Z6809,0,0.0
Z4020,0,0.0
Z4603,2,8.0
Z5014,0,0.0
N715,0,0.0
Z2822,1,21.04
Z1220,0,0.0
Z5023,2,4.63
N407,0,0.0
Z5464,0,0.0
Z1132,0,0.0
Z5212,0,0.0
N513,0,0.0
Z5058,0,0.0
Z6810,0,0.0
Z1026,0,0.0
Z5406,0,0.0
Z1605,0,0.0
Z8607,0,0.0
N213,0,0.0
Z8713,1,13.88
Z1044,7,3.2
N1,0,0.0
R314,1,1.1
Z2041,0,0.0
R555,0,0.0
Z3603,0,0.0
Z5901,2,1.05
Z2014,0,0.0
Z3042,0,0.0
Z5044,0,0.0
Z4025,0,0.0
Z4012,0,0.0
Z8038,0,0.0
R281,0,0.0
Z8404,0,0.0
N104,47,60.25
Z2810,0,0.0
Z5026,0,0.0
Z5011,2,3.35
N710,0,0.0
N604,0,0.0
Z1619,0,0.0
Z4606,0,0.0
Z7042,0,0.0
R549,0,0.0
Z6023,0,0.0
N808,0,0.0
Z7717,0,0.0
Z6014,0,0.0
R142,1,2.0
Z7603,0,0.0
R249,0,0.0
Z2008,0,0.0
R120,0,0.0
Z2403,0,0.0
R770,2,0.88
Z7006,0,0.0
R747,0,0.0
Z7031,0,0.0
R164,0,0.0
Z7458,0,0.0
Z1081,0,0.0
Z8806,0,0.0
Z6005,0,0.0
Z7706,1,0.51
R712,0,0.0
Z1804,0,0.0
R558,0,0.0
Z6032,0,0.0
Z4617,0,0.0
Z1608,0,0.0
Z1442,0,0.0
N701,0,0.0
Z2801,0,0.0
Z8201,0,0.0
Z1049,0,0.0
Z5469,0,0.0
Z5614,0,0.0
Z1417,2,4.0
Z1420,0,0.0
Z5623,0,0.0
Z5062,0,0.0
Z5055,0,0.0
Z5804,1,0.5
Z2032,0,0.0
Z7505,0,0.0
Z3706,0,0.0
Z7411,0,0.0
R544,0,0.0
Z3031,0,0.0
N805,1,99.37
Z3006,0,0.0
Z5851,2,1.1
Z6019,0,0.0
R211,1,1.02
R450,0,0.0
Z1055,0,0.0
Z8702,2,2.418
Z5503,0,0.0
Z8057,0,0.0
R821,0,0.0
Z1062,1,1.7
Z1623,0,0.0
Z8002,0,0.0
Z5049,0,0.0
Z1037,0,0.0
N502,0,0.0
Z8035,0,0.0
Z5561,4,2.25
Z1123,0,0.0
Z8121,2,0.1
N109,0,0.0
