road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,cleaned_name,LR_indicator,is_on_land,is_connected_to_road
N1,118.049,Box Culvert,LRP119a,KALIR BAZAR BOX CULVERT,2.5,A,101185,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,118.049,12.2,1990.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2417777777777,91.3123888888888,bcs1,KALIR BAZAR BOX CULVERT,,True,True
N1,119.628,Box Culvert,LRP120b,CHADDAGRAM BAZAR BOX CULVERT,6.0,A,101192,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,119.628,9.5,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2275833333333,91.3133611111111,bcs1,CHADDAGRAM BAZAR BOX CULVERT,,True,True
N1,121.567,Box Culvert,LRP122a,FALGUNCORA CULVERT,6.1,A,101198,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,121.567,11.85,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2103888888888,91.3156944444444,bcs1,FALGUNCORA CULVERT,,True,True
N1,122.603,Box Culvert,LRP123a,ATTOCK GRAM BOX CULVERT,6.1,A,101201,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,122.603,12.0,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2010833333333,91.31675,bcs1,ATTOCK GRAM BOX CULVERT,,True,True
N1,126.448,Box Culvert,LRP127a,ANDAJER BAZER BOX CULVERT,9.5,A,101214,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,126.448,10.5,1992.0,2.0,Comilla,Comilla,Comilla,Comilla,23.1681944444444,91.3214166666666,bcs1,ANDAJER BAZER BOX CULVERT,,True,True
N1,130.912,Box Culvert,LRP131b,HASO BOTHACH BOX CULVERT,6.5,A,101229,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,130.912,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1291111111111,91.3286666666666,bcs1,HASO BOTHACH BOX CULVERT,,True,True
N1,133.155,Box Culvert,LRP134a,Chanara Box Culvert,6.1,A,101167,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,133.155,9.5,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1108333333333,91.3381944444444,bcs1,CHANARA BOX CULVERT,,True,True
N1,134.974,Box Culvert,LRP136a,PODOYA BOX CULVERT,3.1,A,101193,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,134.974,12.3,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.0962777777777,91.3461111111111,bcs1,PODOYA BOX CULVERT,,True,True
N1,136.375,Box Culvert,LRP137a,UTTOR KAIEATI CULVERT,3.5,A,101204,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,136.375,12.2,1994.0,1.0,Comilla,Comilla,Comilla,Comilla,23.0850555555555,91.3524166666666,bcs1,UTTOR KAIEATI CULVERT,,True,True
N1,141.531,Box Culvert,LRP142a,FATAPUR BOX CULVERT,10.8,A,101226,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,141.531,15.9,1999.0,2.0,Comilla,Noakhali,Feni,Feni-1,23.0423333333333,91.3654444444444,bcs1,FATAPUR BOX CULVERT,,True,True
