,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRP044,43.858,Km Post,Km post broken,23.8938608,89.1124722,,N704.lrps.htm
,LRP045,44.838,Km Post,Kustia 1 km,23.9011667,89.1179438,,N704.lrps.htm
,LRP045a,45.774,Rail Road Crossing,Rail road Crossing,23.9086667,89.1219716,,N704.lrps.htm
,LRP045b,45.778,Round About,Majompur ghate,23.9087222,89.1218604,,N704.lrps.htm
,LRP046,45.838,Km Post,Km post missing,23.9087778,89.1211938,,N704.lrps.htm
,LRP046a,45.848,Monument,Banghabondu Chattar,23.9088056,89.1210271,,N704.lrps.htm
,LRP046b,46.761,Culvert,Box Culvert,23.9124444,89.1134444,,N704.lrps.htm
,LRP047,46.838,Km Post,Km post missing,23.91275,89.113,,N704.lrps.htm
,LRP047a,47.728,Culvert,Box culvert,23.917666,89.1060833,,N704.lrps.htm
,LRP048,47.758,Km Post,Bogra 143 km,23.917916,89.1058056,,N704.lrps.htm
,LRP049,48.758,Km Post,Paksey 21 km,23.9241104,89.0985274,,N704.lrps.htm
,LRP049a,48.928,Culvert,Box Culvert,23.9251938,89.0972497,,N704.lrps.htm
,LRP050,49.758,Km Post,Natore 73 km,23.9302493,89.0912774,,N704.lrps.htm
,LRP050a,50.038,"Side Road, Left",R 745 to Meherpur,23.9319716,89.0892219,,N704.lrps.htm
,LRP050b,50.286,Culvert,Box Culvert,23.9334719,89.0875274,,N704.lrps.htm
,LRP051,50.758,Km Post,Km post missing,23.9367219,89.0842497,,N704.lrps.htm
,LRP051a,50.858,Culvert,R.C.c Culvert,23.9373886,89.0835552,,N704.lrps.htm
,LRP052,51.758,Km Post,Km post missing,23.9439163,89.0782493,,N704.lrps.htm
,LRP052a,51.921,Culvert,R.c.c culver,23.946583,89.0774438,,N704.lrps.htm
,LRP053,52.748,Km Post,Natore 70 km,23.9516389,89.0738327,,N704.lrps.htm
,LRP054,53.748,Km Post,Bogra 137 km,23.9600833,89.0706382,,N704.lrps.htm
,LRP055,54.748,Km Post,Natore 68 km,23.9643333,89.0635278,,N704.lrps.htm
,LRP056,55.748,Km Post,Paksey Bridge 14 km,23.9635,89.0538056,,N704.lrps.htm
,LRP057,56.743,Km Post,Dhaka 248 km,23.9650833,89.0441663,,N704.lrps.htm
,LRP058,57.743,Km Post,Km post missing,23.9678049,89.0349163,,N704.lrps.htm
,LRP059,58.713,Km Post,Natore 64 km,23.9732771,89.0280549,,N704.lrps.htm
,LRP060,59.713,Km Post,Pobna 42 km,23.9798327,89.0213327,,N704.lrps.htm
,LRP061,60.713,Km Post,Pabna 41 km,23.9886108,89.0196938,,N704.lrps.htm
,LRP062,61.733,Km Post,Pabna 40 km,23.9975552,89.0181938,,N704.lrps.htm
,LRP063,62.563,Km Post,Dhaka 240 km,24.0046667,89.0159722,,N704.lrps.htm
,LRP064,63.563,Km Post,Ishurdi 23 km/Pabna Road Division Start,24.0135556,89.0146389,,N704.lrps.htm
,LRP064,63.563,Km Post,Ishurdi 23 km/Pabna Road Division Start,24.0135556,89.0146389,,N704.lrps.htm
