road,id,model_type,condition,name,lat,lon,length
N2,1007411,link,Z,Box culvert,24.8681382,91.8601111,129.83392739661423
N2,1007412,bridge,A,Daudpur,24.8684057867647,91.8613151441176,1.5
N2,1007413,link,Z,Box culvert,24.868416,91.8613611,600.6649824570212
N2,1007414,bridge,B,FIRUS PUR 1,24.8692639999999,91.8631159935999,7.0
N2,1007415,link,Z,Km post missing,24.8714993,91.86625,919.3861367905181
N2,1007416,bridge,B,FIRUSPUR (2),24.8741126221897,91.8678933810219,2.0
N2,1007417,link,Z,Km post missing,24.8771104,91.8729438,60.12688381827062
N2,1007418,link,Z,Bridge start,24.8772216,91.8735271,184.17787098408962
N2,1007419,bridge,A,Sylhet Rail Line Over Bridge,24.8772216,91.8736601789473,21.0
N2,1007420,bridge,A,SYHAT RAIL LINE OVER BRIDGE,24.8772216,91.8736601789473,21.0
N2,1007421,link,Z,N209 / N208 to Moulovibazar,24.8776938,91.8752771,34.550545047714614
N2,1007422,link,Z,Km post broken,24.87784884913793,91.87557391336208,375.2665962897819
N2,1007423,bridge,A,KADAMTALY CULVERT,24.878804890909,91.8772392090909,9.5
N2,1007424,link,Z,Bridge start,24.8801938,91.8782493,606.8809001127169
N2,1007425,bridge,B,Shahjalal Bridge,24.8804188125786,91.8783764886792,298.5
N2,1007426,bridge,B,SHAHJALAL BRIDGE,24.8804188125786,91.8783764886792,298.2
N2,1007427,link,Z,Km post missing,24.8851108,91.8808604,375.2596404134411
N2,1007428,bridge,A,SUCLTY BOX CULVERT,24.8875050368421,91.8804856543859,9.1
N2,1007429,link,Z,Box culvert,24.8884163,91.8801104,531.5487256072523
N2,1007430,bridge,A,SUB CITY BOX CULVERT,24.8884239319112,91.8801072240614,9.1
N2,1007431,bridge,A,NAYER POLL BOX CULVERT,24.8928733361774,91.8782556518771,2.5
N2,1007432,link,Z,Km post missing,24.8928886,91.8782493,716.1150141898921
N2,1007433,bridge,A,MIRA BAZAR CULVERT,24.8950870496503,91.8800680979021,4.4
N2,1007434,link,Z,Box culvert,24.8951941,91.8877774,825.5872596660034
N2,1007435,bridge,A,TILA GOR BOX CULVERT,24.8951960540689,91.8978414295172,2.0
N2,1007436,bridge,A,FORHADKHA POLL BOX CULVERT,24.8952127506849,91.8876442273972,8.5
N2,1007437,bridge,A,MIRA BAZAR BOX CULVERT,24.8952917580645,91.8820476903225,3.0
N2,1007438,bridge,A,MIRA BAZAR BOX CULVERT,24.8953549587548,91.8845366813229,2.0
N2,1007439,link,Z,Box culvert,24.8953608,91.8848052,159.73555126944734
N2,1007440,link,Z,Km post missing,24.8953886,91.8863886,141.73765110714265
N2,1007441,link,Z,Km post missing,24.8956941,91.8959441,973.8519715686767
N2,1007442,link,Z,Tamabil 50 km,24.8965274,91.9055556,1008.8610490784134
N2,1007443,bridge,B,TILA GOR BOX CULVERT,24.8965971215172,91.9038853933793,6.1
N2,1007444,bridge,A,ISLAM PUR BOX CULVERT,24.9004838676142,91.9141317310659,2.0
N2,1007445,link,Z,Horipur 17 km,24.9006389,91.9144722,988.532718675352
N2,1007446,bridge,A,CHAMILI BAG BOX CULVERT,24.9034995254545,91.9192233272727,6.0
N2,1007447,link,Z,Horipur 16 km,24.9055556,91.9226382,799.4754821390709
N2,1007448,bridge,C,Hatim Para Bridge,24.9068333,91.9244993,11.85
N2,1007449,bridge,A,HATIM PARA,24.9068333,91.9244993,11.6
N2,1007450,link,Z,Box culvert,24.9069444,91.930416,359.5749357186259
N2,1007451,bridge,A,KHASIM RLAQAR,24.907088340909,91.9304488272727,6.0
N2,1007452,link,Z,Tamabil 47 km,24.9101111,91.9311382,661.7657503692727
N2,1007453,link,Z,Bridge end,24.9132778,91.9366941,310.7718397428496
N2,1007454,bridge,A,KHASDIMNAGAR,24.9132963487096,91.9367811967741,11.7
N2,1007455,bridge,A,Khadim Nagar Bridge,24.9132963487096,91.9367811967741,11.8
N2,1007456,link,Z,Jaflong 50 km,24.9139167,91.9396941,845.6396310099498
N2,1007457,link,Z,Bridge end,24.9152778,91.9479441,185.9264231383425
N2,1007458,bridge,C,BEEIK ALAKA BRIDGE,24.9152799929824,91.9479415416666,15.0
N2,1007459,bridge,B,Khadem Nagar Bridge,24.9152799929824,91.9479415416666,15.0
N2,1007460,bridge,A,KASIM NAGAR,24.9158000502617,91.9474589659685,3.0
N2,1007461,link,Z,Km post missing,24.91625,91.9494441,972.3758158615669
N2,1007462,bridge,A,KHIDIR PUR BOX CULVERT,24.9162917,91.949548275,3.0
N2,1007463,link,Z,Jaintapur 31 km,24.9196382,91.9583333,330.00833554617765
N2,1007464,bridge,A,HATIMA BOX CULVERT,24.9198326352941,91.9586813941176,14.4
N2,1007465,link,Z,Box culvert,24.921166,91.9611389,668.1635465451526
N2,1007466,bridge,A,PORGONA BAZAR BOX CULVERT,24.9213004799401,91.9612989961077,6.0
N2,1007467,link,Z,Tamabil 43 km,24.9252493,91.966,683.1431142440615
N2,1007468,link,Z,Bridge end,24.9295549,91.9708327,315.6970750715161
N2,1007469,bridge,B,PILOR CHAK BOX CULVERT,24.9295749546341,91.9708663039024,12.45
N2,1007470,bridge,A,HAGIVILA BOX CULVERT,24.9306556166666,91.9726885854166,3.0
N2,1007471,link,Z,Jaflong 46 km,24.9310827,91.9734716,997.451045303616
N2,1007472,bridge,A,BOTESSOR BOX CULVERT,24.9343602183673,91.9792028897959,3.0
N2,1007473,link,Z,Horipur 9 km,24.9359163,91.9818049,943.9408286505704
N2,1007474,bridge,A,PULI BOX CULVERT,24.9368928547788,91.9842870291012,6.0
N2,1007475,link,Z,Box culvert,24.9389997,91.9905274,53.70927264068222
N2,1007476,bridge,A,BOTESSOR BOX CULVERT,24.9390802233333,91.9907690666666,9.25
N2,1007477,link,Z,Jainyapur 27 km,24.9391663,91.9910274,979.6727007378273
N2,1007478,link,Z,Tamabil 39 km,24.9440552,91.9991108,1022.6637179177377
N2,1007479,bridge,A,THAKURRAMATI BOX CULVERT,24.9489321688073,92.0036719862385,3.0
N2,1007480,link,Z,Jaflong 42 km,24.9508056,92.006,184.70735680088876
N2,1007481,link,Z,Bridge end,24.9518889,92.0073889,805.8288385090273
N2,1007482,bridge,A,THAKURAMATI BOX CULVERT,24.9519106109204,92.0074059307332,9.25
N2,1007483,bridge,A,SHIK NAGAR,24.9565431252873,92.0110380172413,3.9
N2,1007484,link,Z,Horipur 5 km,24.9578611,92.0119167,921.437228764279
N2,1007485,bridge,A,KHAN BAGAN,24.9632171586933,92.0188172012644,6.5
N2,1007486,link,Z,Box culvert,24.96325,92.0188604,36.54244761958089
N2,1007487,link,Z,Jaintapur 23  km,24.9632778,92.0192216,920.7100453735166
N2,1007488,bridge,A,PANI CHARA,24.9644971973634,92.0240449506591,9.0
N2,1007489,link,Z,Tamabil 35 km,24.9681104,92.0266382,963.0789716962079
N2,1007490,bridge,A,OMON PUR,24.972570427972,92.0327027454545,6.85
N2,1007491,link,Z,Jaflong 38 km,24.9737216,92.0339163,980.9704981419171
N2,1007492,bridge,A,OMON PUR,24.9749405475138,92.0346165762431,3.0
N2,1007493,link,Z,Horipur 1 km,24.9820549,92.0371108,950.135476152151
N2,1007494,bridge,A,HORIPUR,24.9832139243421,92.0378282486842,4.5
N2,1007495,link,Z,Km post missing,24.9893608,92.0419997,133.04910624197757
N2,1007496,bridge,A,Haripur Bridge,24.9895894535353,92.0422564333333,90.8
N2,1007497,bridge,A,HORIPUR,24.9895894535353,92.0422564333333,91.2
N2,1007498,link,Z,Bridge end,24.9902219,92.0429163,858.7311794470426
N2,1007499,link,Z,Tamabil 31 km,24.9969441,92.0471108,604.0841492042957
N2,1007500,bridge,B,KORISH TRUSS WITH RCC SLAB,25.0015666421903,92.0479688080789,83.1
N2,1007501,bridge,B,Korish Bridge,25.0015666421903,92.0479688080789,82.0
N2,1007502,link,Z,Bridge end,25.0022778,92.0482497,362.3187959351943
N2,1007503,link,Z,Jaflong 34 km,25.0047778,92.0505556,1002.3939332097884
N2,1007504,link,Z,Jaintapur 16 km,25.0110556,92.0576944,529.0444928330635
N2,1007505,bridge,B,Sali Bridge,25.0141111,92.0612778,35.75
N2,1007506,bridge,B,SALI RCC GIDER BRIDGE,25.0141111,92.0612778,36.3
N2,1007507,link,Z,Bridge end,25.0143333,92.0615,462.75767013742706
N2,1007508,link,Z,Tamabil 28 km,25.0175271,92.0644444,1003.4034220306781
N2,1007509,link,Z,Jaflong 31 km,25.0253604,92.0693882,520.8463386467237
N2,1007510,bridge,C,Goyali Bridge,25.0290827,92.0718327,36.0
N2,1007511,bridge,B,GOYALI RCC GIDER BRIDGE,25.0290827,92.0718327,37.0
