road,avg_flood_score,closest_flood_category
Z1048,3.956043956043956,Severe Flash Flooding
Z1049,1.8666666666666667,Moderate River Flooding
Z1050,2.121212121212121,Moderate River Flooding
Z1051,3.789473684210526,Severe Flash Flooding
Z1052,2.08955223880597,Moderate River Flooding
Z1053,1.8846153846153846,Moderate River Flooding
Z1054,0.0,Not Flood Prone
Z1055,2.0,Moderate River Flooding
Z1057,5.0,Moderate Flash Flooding
Z1059,5.0,Moderate Flash Flooding
Z1060,0.0,Not Flood Prone
Z1061,0.0,Not Flood Prone
Z1062,1.9428571428571428,Moderate River Flooding
Z1063,1.4285714285714286,Severe River Flooding
Z1064,0.0,Not Flood Prone
Z1065,5.0,Moderate Flash Flooding
Z1066,0.5217391304347826,Severe River Flooding
Z1069,2.0,Moderate River Flooding
Z1070,4.855072463768116,Moderate Flash Flooding
Z1071,5.0,Moderate Flash Flooding
Z1075,7.0,Severe Tidal Surge
Z1076,7.0,Severe Tidal Surge
Z1081,2.716417910447761,Low River Flooding
Z1083,7.0,Severe Tidal Surge
Z1084,6.957446808510638,Severe Tidal Surge
Z1086,0.9210526315789473,Severe River Flooding
Z1087,0.6521739130434783,Severe River Flooding
Z1088,5.228571428571429,Moderate Flash Flooding
Z1089,0.0,Not Flood Prone
Z1095,7.0,Severe Tidal Surge
Z1098,1.5596330275229358,Moderate River Flooding
Z1101,0.0,Not Flood Prone
Z1102,0.0,Not Flood Prone
Z1121,0.4166666666666667,Not Flood Prone
Z1123,5.0,Moderate Flash Flooding
Z1124,0.6818181818181818,Severe River Flooding
Z1125,4.613636363636363,Moderate Flash Flooding
Z1126,5.0,Moderate Flash Flooding
Z1127,5.434782608695652,Moderate Flash Flooding
Z1128,7.0,Severe Tidal Surge
Z1129,7.0,Severe Tidal Surge
Z1130,0.9090909090909091,Severe River Flooding
Z1131,3.5555555555555554,Severe Flash Flooding
Z1132,4.770833333333333,Moderate Flash Flooding
Z1133,0.0,Not Flood Prone
Z1134,5.555555555555555,Low Flash Flooding
Z1135,7.0,Severe Tidal Surge
Z1136,0.0,Not Flood Prone
Z1201,2.0,Moderate River Flooding
Z1202,1.3170731707317074,Severe River Flooding
Z1205,2.1052631578947367,Moderate River Flooding
Z1206,0.8125,Severe River Flooding
Z1210,4.181818181818182,Severe Flash Flooding
Z1216,1.9393939393939394,Moderate River Flooding
Z1219,1.263157894736842,Severe River Flooding
Z1220,1.183673469387755,Severe River Flooding
Z1221,0.3611111111111111,Not Flood Prone
Z1401,2.1204819277108435,Moderate River Flooding
Z1402,2.0330578512396693,Moderate River Flooding
Z1403,0.08,Not Flood Prone
Z1405,5.88,Low Flash Flooding
Z1407,2.391891891891892,Moderate River Flooding
Z1411,2.4107142857142856,Moderate River Flooding
Z1412,1.5,Severe River Flooding
Z1413,7.0,Severe Tidal Surge
Z1414,1.8095238095238095,Moderate River Flooding
Z1415,7.461538461538462,Severe Tidal Surge
Z1416,3.888888888888889,Severe Flash Flooding
Z1417,3.0,Low River Flooding
Z1420,3.0,Low River Flooding
Z1421,1.4745762711864407,Severe River Flooding
Z1422,2.09375,Moderate River Flooding
Z1423,2.108108108108108,Moderate River Flooding
Z1424,7.0,Severe Tidal Surge
Z1425,6.113636363636363,Low Flash Flooding
Z1426,2.515151515151515,Low River Flooding
Z1429,3.4507042253521125,Low River Flooding
Z1430,2.4594594594594597,Moderate River Flooding
Z1432,4.869565217391305,Moderate Flash Flooding
Z1433,7.305555555555555,Severe Tidal Surge
Z1434,7.0,Severe Tidal Surge
Z1436,3.0,Low River Flooding
Z1437,3.0,Low River Flooding
Z1438,7.0,Severe Tidal Surge
Z1439,7.0,Severe Tidal Surge
Z1441,5.9714285714285715,Low Flash Flooding
Z1442,3.0,Low River Flooding
Z1443,2.6458333333333335,Low River Flooding
Z1444,1.9545454545454546,Moderate River Flooding
Z1445,2.984848484848485,Low River Flooding
Z1448,7.0,Severe Tidal Surge
Z1449,4.0,Severe Flash Flooding
Z1450,3.0,Low River Flooding
Z1452,0.0,Not Flood Prone
Z1466,3.0,Low River Flooding
Z1472,3.0,Low River Flooding
Z1482,3.0,Low River Flooding
Z1508,7.0,Severe Tidal Surge
Z1510,1.5066666666666666,Moderate River Flooding
Z1601,3.292682926829268,Low River Flooding
Z1602,0.0,Not Flood Prone
Z1603,0.0,Not Flood Prone
Z1604,0.0,Not Flood Prone
Z1606,0.0,Not Flood Prone
Z1608,0.0,Not Flood Prone
Z1610,0.0,Not Flood Prone
Z1611,0.0,Not Flood Prone
Z1612,0.0,Not Flood Prone
Z1617,3.9215686274509802,Severe Flash Flooding
Z1618,0.6097560975609756,Severe River Flooding
Z1619,0.0,Not Flood Prone
Z1620,0.0,Not Flood Prone
Z1623,0.2,Not Flood Prone
Z1629,0.45454545454545453,Not Flood Prone
Z1636,2.972972972972973,Low River Flooding
Z1637,0.0,Not Flood Prone
Z1703,5.0,Moderate Flash Flooding
Z1802,5.0,Moderate Flash Flooding
Z1804,5.0,Moderate Flash Flooding
Z1811,0.17073170731707318,Not Flood Prone
Z1812,0.0,Not Flood Prone
Z1813,0.0,Not Flood Prone
Z1814,0.0,Not Flood Prone
Z1824,2.1842105263157894,Moderate River Flooding
Z2002,0.967032967032967,Severe River Flooding
Z2003,0.15151515151515152,Not Flood Prone
Z2008,4.0,Severe Flash Flooding
Z2009,4.0,Severe Flash Flooding
Z2010,4.0,Severe Flash Flooding
Z2011,2.0,Moderate River Flooding
Z2012,2.0,Moderate River Flooding
Z2013,2.0,Moderate River Flooding
Z2014,2.0,Moderate River Flooding
Z2016,2.0,Moderate River Flooding
Z2020,0.25,Not Flood Prone
Z2031,2.2857142857142856,Moderate River Flooding
Z2032,3.0,Low River Flooding
Z2034,0.4375,Not Flood Prone
Z2035,0.78,Severe River Flooding
Z2036,1.7027027027027026,Moderate River Flooding
Z2037,0.0,Not Flood Prone
Z2038,2.5714285714285716,Low River Flooding
Z2039,0.0,Not Flood Prone
Z2041,3.0,Low River Flooding
Z2042,0.5714285714285714,Severe River Flooding
Z2044,2.6447368421052633,Low River Flooding
Z2045,1.024390243902439,Severe River Flooding
Z2047,1.40625,Severe River Flooding
Z2048,0.0,Not Flood Prone
Z2049,3.0,Low River Flooding
Z2055,2.0714285714285716,Moderate River Flooding
Z2115,3.0,Low River Flooding
Z2121,0.15,Not Flood Prone
Z2122,3.0,Low River Flooding
Z2123,1.3548387096774193,Severe River Flooding
Z2403,2.3529411764705883,Moderate River Flooding
Z2405,1.4594594594594594,Severe River Flooding
Z2801,2.4123711340206184,Moderate River Flooding
Z2802,4.324324324324325,Severe Flash Flooding
Z2804,3.0344827586206895,Low River Flooding
Z2805,6.0,Low Flash Flooding
Z2806,2.0,Moderate River Flooding
Z2807,4.297872340425532,Severe Flash Flooding
Z2808,1.837837837837838,Moderate River Flooding
Z2809,2.0869565217391304,Moderate River Flooding
Z2810,2.0588235294117645,Moderate River Flooding
Z2811,4.684931506849315,Moderate Flash Flooding
Z2812,2.0,Moderate River Flooding
Z2813,4.0,Severe Flash Flooding
Z2822,0.0,Not Flood Prone
Z2823,0.0,Not Flood Prone
Z2824,0.0,Not Flood Prone
Z2831,4.566666666666666,Moderate Flash Flooding
Z2832,1.2653061224489797,Severe River Flooding
Z2834,3.0,Low River Flooding
Z3002,0.0,Not Flood Prone
Z3003,0.0,Not Flood Prone
Z3004,0.0,Not Flood Prone
Z3005,0.0,Not Flood Prone
Z3006,0.0,Not Flood Prone
Z3007,3.0,Low River Flooding
Z3008,0.0,Not Flood Prone
Z3009,0.0,Not Flood Prone
Z3010,0.0,Not Flood Prone
Z3012,0.0,Not Flood Prone
Z3024,0.0,Not Flood Prone
Z3025,0.0,Not Flood Prone
Z3026,0.0,Not Flood Prone
Z3030,0.0,Not Flood Prone
Z3031,1.3846153846153846,Severe River Flooding
Z3032,1.744186046511628,Moderate River Flooding
Z3033,0.5163934426229508,Severe River Flooding
Z3034,0.3698630136986301,Not Flood Prone
Z3035,2.217391304347826,Moderate River Flooding
Z3036,0.0,Not Flood Prone
Z3037,0.8780487804878049,Severe River Flooding
Z3038,0.0,Not Flood Prone
Z3039,0.0,Not Flood Prone
Z3040,5.0,Moderate Flash Flooding
Z3042,0.0,Not Flood Prone
Z3601,0.0,Not Flood Prone
Z3602,0.0,Not Flood Prone
Z3603,2.3013698630136985,Moderate River Flooding
Z3604,0.0,Not Flood Prone
Z3605,1.2352941176470589,Severe River Flooding
Z3607,1.8571428571428572,Moderate River Flooding
Z3608,0.5192307692307693,Severe River Flooding
Z3609,0.0,Not Flood Prone
Z3615,0.045454545454545456,Not Flood Prone
Z3616,0.0,Not Flood Prone
Z3617,0.0,Not Flood Prone
Z3623,2.590909090909091,Low River Flooding
Z3701,4.586776859504132,Moderate Flash Flooding
Z3703,3.6129032258064515,Severe Flash Flooding
Z3704,3.4691358024691357,Low River Flooding
Z3705,3.5789473684210527,Severe Flash Flooding
Z3706,0.7931034482758621,Severe River Flooding
Z3707,3.0144927536231885,Low River Flooding
Z3708,3.1666666666666665,Low River Flooding
Z3709,3.4705882352941178,Low River Flooding
Z3710,2.1645569620253164,Moderate River Flooding
Z3711,3.6666666666666665,Severe Flash Flooding
Z3712,4.532258064516129,Moderate Flash Flooding
Z3713,3.0,Low River Flooding
Z4007,3.0,Low River Flooding
Z4009,2.3333333333333335,Moderate River Flooding
Z4011,0.0,Not Flood Prone
Z4012,2.417910447761194,Moderate River Flooding
Z4015,3.0,Low River Flooding
Z4016,1.5263157894736843,Moderate River Flooding
Z4017,2.9056603773584904,Low River Flooding
Z4018,2.5692307692307694,Low River Flooding
Z4019,2.6538461538461537,Low River Flooding
Z4020,2.8181818181818183,Low River Flooding
Z4021,0.897196261682243,Severe River Flooding
Z4022,1.4545454545454546,Severe River Flooding
Z4023,1.8113207547169812,Moderate River Flooding
Z4024,3.0,Low River Flooding
Z4025,1.2272727272727273,Severe River Flooding
Z4101,2.4941176470588236,Moderate River Flooding
Z4104,1.2666666666666666,Severe River Flooding
Z4105,2.775,Low River Flooding
Z4602,4.666666666666667,Moderate Flash Flooding
Z4603,4.818181818181818,Moderate Flash Flooding
Z4604,0.0,Not Flood Prone
Z4605,4.288888888888889,Severe Flash Flooding
Z4606,0.3310344827586207,Not Flood Prone
Z4607,1.6274509803921569,Moderate River Flooding
Z4608,1.0,Severe River Flooding
Z4609,4.0,Severe Flash Flooding
Z4610,3.893939393939394,Severe Flash Flooding
Z4614,0.10810810810810811,Not Flood Prone
Z4615,0.273972602739726,Not Flood Prone
Z4616,4.435483870967742,Severe Flash Flooding
Z4617,0.0,Not Flood Prone
Z4619,4.538461538461538,Moderate Flash Flooding
Z4622,0.0,Not Flood Prone
Z4801,1.925,Moderate River Flooding
Z5001,4.0,Severe Flash Flooding
Z5002,5.01063829787234,Moderate Flash Flooding
Z5003,2.1818181818181817,Moderate River Flooding
Z5004,6.0,Low Flash Flooding
Z5005,6.0,Low Flash Flooding
Z5006,1.8461538461538463,Moderate River Flooding
Z5007,3.3,Low River Flooding
Z5008,4.421052631578948,Severe Flash Flooding
Z5009,0.0,Not Flood Prone
Z5010,0.0,Not Flood Prone
Z5011,2.608695652173913,Low River Flooding
Z5014,0.0,Not Flood Prone
Z5015,0.2916666666666667,Not Flood Prone
Z5018,0.7701149425287356,Severe River Flooding
Z5019,0.0,Not Flood Prone
Z5020,0.0,Not Flood Prone
Z5021,2.1265822784810124,Moderate River Flooding
Z5022,0.7368421052631579,Severe River Flooding
Z5023,0.0,Not Flood Prone
Z5024,0.0,Not Flood Prone
Z5025,1.0,Severe River Flooding
Z5026,0.0,Not Flood Prone
Z5029,6.0,Low Flash Flooding
Z5032,1.9240506329113924,Moderate River Flooding
Z5034,0.0,Not Flood Prone
Z5035,1.9176470588235295,Moderate River Flooding
Z5039,0.0,Not Flood Prone
Z5040,1.7551020408163265,Moderate River Flooding
Z5041,0.9090909090909091,Severe River Flooding
Z5042,1.849056603773585,Moderate River Flooding
Z5043,0.7142857142857143,Severe River Flooding
Z5046,0.5294117647058824,Severe River Flooding
Z5047,1.837837837837838,Moderate River Flooding
Z5048,1.2272727272727273,Severe River Flooding
Z5049,0.0,Not Flood Prone
Z5050,2.0,Moderate River Flooding
Z5051,2.0,Moderate River Flooding
Z5053,0.0,Not Flood Prone
Z5054,0.0,Not Flood Prone
Z5055,6.0,Low Flash Flooding
Z5058,1.9487179487179487,Moderate River Flooding
Z5059,6.0,Low Flash Flooding
Z5060,4.0,Severe Flash Flooding
Z5061,3.0,Low River Flooding
Z5062,3.0,Low River Flooding
Z5063,3.0,Low River Flooding
Z5064,2.704225352112676,Low River Flooding
Z5066,2.515151515151515,Low River Flooding
Z5069,2.761904761904762,Low River Flooding
Z5070,2.25,Moderate River Flooding
Z5072,1.9867549668874172,Moderate River Flooding
Z5074,0.0,Not Flood Prone
Z5075,0.9590163934426229,Severe River Flooding
Z5080,6.0,Low Flash Flooding
