name,avg_flood_score,closest_flood_category
ASLODIA[2],3.0,Low River Flooding
ASLODIA[3],3.0,Low River Flooding
ASLODIA[4],3.0,Low River Flooding
ASMANDIR CAR,3.0,Low River Flooding
ASRAFUL KAPUL,2.0,Moderate River Flooding
ASRAKAPUL BOX CULVERT,2.0,Moderate River Flooding
ASRAM SLAB CULVERT,5.0,Moderate Flash Flooding
ASRAPUR,3.0,Low River Flooding
ASUGIA,0.0,Not Flood Prone
ASUM BAZAR,4.0,Severe Flash Flooding
ASURIGHAT BRIDGE,0.0,Not Flood Prone
AT GRAM BOX CULVERT,2.0,Moderate River Flooding
ATAPAGLA CUL,4.0,Severe Flash Flooding
ATHARABARI,0.0,Not Flood Prone
ATKA PARA CULVERT,4.0,Severe Flash Flooding
ATKHA PARA,5.0,Moderate Flash Flooding
ATKOTA,0.0,Not Flood Prone
ATOBARPUR CULVERT,2.0,Moderate River Flooding
ATOCHORA BOX CULVERT,0.0,Not Flood Prone
ATPARA,1.0,Severe River Flooding
ATPARA BAILEY WITH STEEL DECK,0.0,Not Flood Prone
ATPARA BOX CULVERT,3.0,Low River Flooding
ATPARA POLICE STATION,3.0,Low River Flooding
ATPARA(2),3.0,Low River Flooding
ATPARA(3),3.0,Low River Flooding
ATTAPUR BOX CULVERT,2.0,Moderate River Flooding
ATTAPUR SLAB CULVERT,2.0,Moderate River Flooding
ATTOCK GRAM BOX CULVERT,0.0,Not Flood Prone
ATUR PUL,0.0,Not Flood Prone
ATURPUR,0.0,Not Flood Prone
ATURPUR 2,0.0,Not Flood Prone
AUGON BOX CULVERT,2.0,Moderate River Flooding
AUKNRZGHAT CULVERT,0.0,Not Flood Prone
AUSHA BOX CULVERT,2.0,Moderate River Flooding
AUSKAMDI BOX CULVERT,0.0,Not Flood Prone
AUSKANDI,0.0,Not Flood Prone
AUSKANDI BOX CULVERT,0.0,Not Flood Prone
AUT GRAM RCC GIDER BRIDGE,2.0,Moderate River Flooding
AVOIPARA,3.0,Low River Flooding
AVOIPASHA,3.0,Low River Flooding
AVOIPASHA(2),3.0,Low River Flooding
AWARA MORE,5.0,Moderate Flash Flooding
AWARON CULVERT,2.0,Moderate River Flooding
AWULTIL SLAB CULVERT,0.0,Not Flood Prone
AYNAL BRIDGE,3.0,Low River Flooding
AZIMPUR CULVERT,0.0,Not Flood Prone
AZIZ NAGOR 1,0.0,Not Flood Prone
AZIZ NAGOR 2,5.0,Moderate Flash Flooding
AZIZ NAGOR BAILY,5.0,Moderate Flash Flooding
AZIZ NOGAR BOX CULVERT,0.0,Not Flood Prone
AZIZ NOGOR FOREST BOX CULVERT,5.0,Moderate Flash Flooding
AZIZADUR,2.0,Moderate River Flooding
AZIZNAGOR BOX CULVERT,0.0,Not Flood Prone
AZIZNAGOR FOREST BOX CULVERT,5.0,Moderate Flash Flooding
AZIZPUR BOX CULVERT,2.0,Moderate River Flooding
Aadunagor bridge,0.0,Not Flood Prone
Abani Dr. bari Bridge,2.0,Moderate River Flooding
Abdullah'r Bazar Bridge,2.0,Moderate River Flooding
Abdullahpur Bridge,1.5,Severe River Flooding
Abdulpur Bridge,0.0,Not Flood Prone
Abujhit Danga,0.0,Not Flood Prone
Adabari Bridge,2.0,Moderate River Flooding
Adamdighi Bridge.,0.0,Not Flood Prone
Adamdighi bridge,0.0,Not Flood Prone
Adamkharkandi Bridge,0.0,Not Flood Prone
Adaorshopara,0.0,Not Flood Prone
Adda Bridge,2.0,Moderate River Flooding
Addipasha Bridge,4.0,Severe Flash Flooding
Adhajhuri Bridge,8.0,Moderate Tidal Surge
Adilar Bridge,2.0,Moderate River Flooding
Adorshopara,0.0,Not Flood Prone
Adunagar Bridge,0.0,Not Flood Prone
Agla Bazar Bridge,2.0,Moderate River Flooding
Ahala Bridge,5.0,Moderate Flash Flooding
Ahladipur Bridge.,2.0,Moderate River Flooding
Ahmed Nagar Bridge,2.0,Moderate River Flooding
Ahmedabad Bridge,3.0,Low River Flooding
Ahmedpur Bridge,3.0,Low River Flooding
Ahmodia Bridge,0.0,Not Flood Prone
Aigarch cul,3.0,Low River Flooding
Ailmari Bridge (11 no),2.0,Moderate River Flooding
Aimon nadi bridge,3.0,Low River Flooding
Aina Bridge,2.0,Moderate River Flooding
Air Port Road More,5.0,Moderate Flash Flooding
Ajadnagar Bridge,7.0,Severe Tidal Surge
Ak Number Bridge,2.0,Moderate River Flooding
Akaria Bridge,3.0,Low River Flooding
Akatton Bridge,3.0,Low River Flooding
Akcharan Bridge,3.0,Low River Flooding
Akhand Bridge,2.0,Moderate River Flooding
